iter	Passed	Remaining
855	81408	13694
856	81478	13595
857	81551	13496
858	81625	13398
859	81697	13299
860	81769	13200
861	81840	13102
862	81914	13003
863	81992	12906
864	82062	12807
865	82146	12710
866	82229	12614
867	82295	12514
868	82373	12417
869	82453	12320
870	82527	12222
871	82597	12124
872	82677	12027
873	82783	11934
874	82969	11852
875	83073	11759
876	83189	11667
877	83291	11573
878	83394	11479
879	83489	11384
880	83600	11292
881	83702	11198
882	83794	11102
883	83926	11013
884	84019	10917
885	84117	10823
886	84206	10727
887	84303	10632
888	84402	10538
889	84497	10443
890	84583	10347
891	84673	10251
892	84765	10156
893	84853	10060
894	84935	9964
895	85023	9868
896	85112	9773
897	85203	9677
898	85292	9582
899	85377	9486
900	85463	9390
901	85540	9293
902	85617	9196
903	85695	9100
904	85787	9005
905	85897	8912
906	85981	8816
907	86061	8719
908	86149	8624
909	86233	8528
910	86307	8431
911	86402	8337
912	86499	8242
913	86640	8152
914	86751	8058
915	86839	7963
916	86927	7868
917	87007	7771
918	87100	7676
919	87180	7580
920	87261	7485
921	87347	7389
922	87435	7294
923	87528	7199
924	87627	7104
925	87712	7009
926	87789	6913
927	87859	6816
928	87941	6721
929	88005	6624
930	88077	6527
931	88151	6431
932	88225	6335
933	88307	6240
934	88390	6144
935	88494	6050
936	88576	5955
937	88678	5861
938	88776	5767
939	88858	5671
940	88968	5578
941	89079	5484
942	89176	5390
943	89359	5300
944	89460	5206
945	89568	5112
946	89677	5018
947	89765	4923
948	89851	4828
949	89942	4733
950	90024	4638
951	90105	4543
952	90188	4447
953	90268	4352
954	90349	4257
955	90431	4162
956	90508	4066
957	90576	3971
958	90659	3875
959	90734	3780
960	90819	3685
961	90899	3590
962	90977	3495
963	91059	3400
964	91130	3305
965	91216	3210
966	91298	3115
967	91362	3020
968	91429	2924
969	91507	2830
970	91585	2735
971	91667	2640
972	91746	2545
973	91829	2451
974	91913	2356
975	92016	2262
976	92154	2169
977	92382	2078
978	92461	1983
979	92549	1888
980	92619	1793
981	92691	1699
982	92776	1604
983	92846	1509
984	92918	1415
985	92993	1320
986	93080	1225
987	93152	1131
988	93229	1036
989	93307	942
990	93377	848
991	93449	753
992	93538	659
993	93618	565
994	93693	470
995	93772	376
996	93845	282
997	93932	188
998	94022	94
999	94120	0
